,0,1,2
0,0.059225965,0.6852178,0.25555626
1,0.08513339,0.62078035,0.29408628
2,0.0876797,0.6035318,0.30878854
3,0.07291363,0.6427393,0.28434712
4,0.05907447,0.69843125,0.2424943
5,0.052808262,0.71898973,0.22820202
6,0.051208388,0.693891,0.25490063
7,0.07312829,0.63976765,0.28710407
8,0.07895029,0.6430051,0.27804467
9,0.074631274,0.6565126,0.26885608
10,0.051172357,0.7142141,0.23461357
11,0.08030637,0.58823043,0.33146328
12,0.07599386,0.6305749,0.29343125
13,0.0908922,0.59445554,0.3146523
14,0.06945646,0.6516346,0.27890903
15,0.0711762,0.6342127,0.29461113
16,0.07308965,0.63921744,0.28769282
17,0.088194005,0.604443,0.30736288
18,0.06711201,0.64380926,0.28907874
19,0.07194231,0.62057346,0.3074842
20,0.074463665,0.6347873,0.29074895
21,0.078251,0.6477131,0.2740358
22,0.07723088,0.63077277,0.2919963
23,0.08424253,0.5800118,0.33574575
24,0.088924095,0.59469897,0.31637692
